sessionName,eventNumber,siteDeg,siteName,state,cueIdxUsed,cuePos,crossingIdx,prevRewardIdx,nextRewardIdx,nextRewardSiteDeg,preSpeed,controlSpeed,decelIndex
JB5  2026-04-10,37,0,0deg_3oclock,preReward_nonTarget,26759,30,26960,26452,27182,180,31.7010894355863,51.409651697927,19.7085622623406
JB5  2026-04-10,38,0,0deg_3oclock,cue_expected,NaN,NaN,27697,27182,28087,180,40.4834251516277,74.2619680960378,33.7785429444101
JB5  2026-04-10,39,0,0deg_3oclock,cue_expected,NaN,NaN,28532,28530,29281,0,32.5928045663469,51.270760594186,18.6779560278391
JB5  2026-04-10,40,0,0deg_3oclock,cue_expected,NaN,NaN,29284,29281,30168,0,30.2242632291061,39.7767938966605,9.55253066755444
JB5  2026-04-10,41,0,0deg_3oclock,cue_expected,NaN,NaN,30170,30168,31002,0,32.9362873618233,83.6012154465025,50.6649280846791
JB5  2026-04-10,42,0,0deg_3oclock,preReward_target,30371,0,31002,30168,31541,0,32.9572280474329,55.3796502664354,22.4224222190025
JB5  2026-04-10,43,0,0deg_3oclock,cue_expected,NaN,NaN,31542,31541,31962,180,30.9280432615429,50.01340674439,19.085363482847
JB5  2026-04-10,44,0,0deg_3oclock,cue_expected,NaN,NaN,32202,31962,32783,0,38.1531822368295,53.6860173881487,15.5328351513192
JB5  2026-04-10,45,0,0deg_3oclock,preReward_target,32408,0,32783,31962,33415,0,39.2164504662104,40.789429980357,1.57297951414655
JB5  2026-04-10,46,0,0deg_3oclock,cue_expected,NaN,NaN,33417,33415,34364,0,38.326973596105,50.5329557027597,12.2059821066547
JB5  2026-04-10,47,0,0deg_3oclock,preReward_nonTarget,34019,0,34364,33415,35120,180,32.4801522309217,68.6229446733376,36.1427924424159
JB5  2026-04-10,48,0,0deg_3oclock,preReward_nonTarget,34757,30,34944,34364,35120,180,29.5918506657008,87.7631646469163,58.1713139812155
JB5  2026-04-10,49,0,0deg_3oclock,cue_expected,NaN,NaN,35527,35524,36322,0,51.815271306256,90.6386818606884,38.8234105544323
JB5  2026-04-10,50,0,0deg_3oclock,cue_expected,NaN,NaN,36324,36322,37288,0,30.3297769296294,47.9038913981271,17.5741144684978
JB5  2026-04-10,51,0,0deg_3oclock,cue_expected,NaN,NaN,37289,37288,38106,180,34.7682999185626,64.4433506189078,29.6750507003453
JB5  2026-04-10,52,0,0deg_3oclock,preReward_nonTarget,37679,30,37941,37288,38106,180,30.9822869277241,92.2606768891833,61.2783899614592
JB5  2026-04-10,53,0,0deg_3oclock,cue_expected,NaN,NaN,38569,38567,39348,0,72.362196984545,91.1682417200815,18.8060447355365
JB5  2026-04-10,54,0,0deg_3oclock,preReward_target,39089,0,39348,38567,39905,0,29.3801228345575,44.1892649270093,14.8091420924517
JB5  2026-04-10,55,0,0deg_3oclock,cue_expected,NaN,NaN,39908,39905,40599,0,28.4758344354446,83.4166000246858,54.9407655892412
JB5  2026-04-10,56,0,0deg_3oclock,cue_expected,NaN,NaN,40601,40599,41478,0,30.1585970904964,70.9216002300381,40.7630031395416
JB5  2026-04-10,57,0,0deg_3oclock,cue_expected,NaN,NaN,41481,41478,42067,180,28.2876275099356,53.9770360276325,25.6894085176969
JB5  2026-04-10,58,0,0deg_3oclock,cue_expected,NaN,NaN,42308,42067,42665,180,52.0161615215666,39.4055348295177,-12.610626692049
JB5  2026-04-10,59,0,0deg_3oclock,cue_expected,NaN,NaN,42828,42665,43228,180,65.4508151871063,58.6004430217708,-6.85037216533557
JB5  2026-04-10,60,0,0deg_3oclock,cue_expected,NaN,NaN,43448,43228,44238,0,37.7420881723242,43.2014334424576,5.45934527013343
JB5  2026-04-10,61,0,0deg_3oclock,cue_expected,NaN,NaN,44239,44238,44920,0,29.8626548055759,37.4543746577316,7.59171985215562
JB5  2026-04-10,62,0,0deg_3oclock,cue_expected,NaN,NaN,44925,44920,45591,0,31.7659554581462,55.5680563760318,23.8021009178856
JB5  2026-04-10,63,0,0deg_3oclock,cue_expected,NaN,NaN,45594,45591,46285,0,40.3310332768842,68.969140610135,28.6381073332508
JB5  2026-04-10,64,0,0deg_3oclock,preReward_target,45890,0,46285,45591,46862,0,35.9973216688552,49.7881499897505,13.7908283208953
JB5  2026-04-10,65,0,0deg_3oclock,cue_expected,NaN,NaN,46863,46862,47353,180,35.8218653429732,43.7697802352609,7.94791489228771
JB5  2026-04-10,66,0,0deg_3oclock,cue_expected,NaN,NaN,47701,47699,48649,0,32.4123810607824,101.21531289742,68.8029318366379
JB5  2026-04-10,67,0,0deg_3oclock,cue_expected,NaN,NaN,48650,48649,49473,0,36.6767217637279,38.3495423688493,1.67282060512139
JB5  2026-04-10,68,0,0deg_3oclock,preReward_nonTarget,49276,0,49473,48649,49890,180,28.8499106606378,81.2348923684596,52.3849817078218
JB5  2026-04-10,69,0,0deg_3oclock,cue_expected,NaN,NaN,50314,50313,50863,0,41.9555108862875,73.0977967325414,31.1422858462538
JB5  2026-04-10,70,0,0deg_3oclock,cue_expected,NaN,NaN,50866,50863,51477,180,29.1937066251858,42.5732985276529,13.379591902467
JB5  2026-04-10,71,0,0deg_3oclock,preReward_nonTarget,51710,30,51922,51477,52071,180,31.7218049714991,93.0090374636531,61.2872324921541
JB5  2026-04-10,72,0,0deg_3oclock,cue_expected,NaN,NaN,52261,52071,52858,0,52.9747495037615,60.1735401240674,7.19879062030592
JB5  2026-04-10,73,0,0deg_3oclock,preReward_nonTarget,52348,0,52858,52071,53808,180,30.1451050176588,38.5753303588626,8.43022534120379
JB5  2026-04-10,74,0,0deg_3oclock,preReward_nonTarget,53284,30,53604,52858,53808,180,32.6326232491552,60.2995597620307,27.6669365128755
JB5  2026-04-10,75,0,0deg_3oclock,cue_expected,NaN,NaN,54057,53808,54590,0,54.0432878500008,51.6148454049105,-2.42844244509025
JB5  2026-04-10,76,0,0deg_3oclock,preReward_nonTarget,54165,0,54590,53808,54971,180,31.240549392726,42.4687125657918,11.2281631730658
JB5  2026-04-10,77,0,0deg_3oclock,cue_expected,NaN,NaN,55421,54971,55797,180,35.4188818431503,6.72822730012029,-28.69065454303
JB5  2026-04-10,78,0,0deg_3oclock,preReward_nonTarget,55943,30,56241,55797,56423,180,37.5583941912155,61.6472766216612,24.0888824304457
JB5  2026-04-10,79,0,0deg_3oclock,preReward_nonTarget,56583,30,56913,56423,57115,180,35.2852812078806,66.6664700636088,31.3811888557282
JB5  2026-04-10,80,0,0deg_3oclock,cue_expected,NaN,NaN,57298,57115,57735,180,60.2612565181532,52.565451168356,-7.69580534979725
JB5  2026-04-10,81,0,0deg_3oclock,cue_expected,NaN,NaN,57923,57735,58489,0,53.2115726881891,49.9746996754237,-3.23687301276538
JB5  2026-04-10,82,0,0deg_3oclock,cue_expected,NaN,NaN,58492,58489,58885,180,37.6511569639037,36.0339726249625,-1.61718433894116
JB5  2026-04-10,83,0,0deg_3oclock,cue_expected,NaN,NaN,59086,58885,59472,180,37.3310229041411,41.4996735968416,4.16865069270053
JB5  2026-04-10,84,0,0deg_3oclock,preReward_target,59692,0,60144,59472,60690,0,43.7563560219816,92.6831982645457,48.9268422425642
