Animal,CellType,Region,ClusterID,B1_Pos,B1_Context,B1_Chair,B1_Drum,B1_Star,P1_Pos,P1_Context,P1_Chair,P1_Drum,P1_Star,B2_Pos,B2_Context,B2_Chair,B2_Drum,B2_Star,P2_Pos,P2_Context,P2_Chair,P2_Drum,P2_Star,B3_Pos,B3_Context,B3_Chair,B3_Drum,B3_Star,P3_Pos,P3_Context,P3_Chair,P3_Drum,P3_Star
VR472,Wide Interneuron,vc,710,2.5868958493357,10.7000068855851,18.3646028524861,11.8464967104392,15.0506665130165,0.000912495770678126,2.38941103420415e-50,2.6359577612578e-31,9.42232843193845e-15,2.63929797857408e-36,-0.692193373162616,0,14.9931430265594,13.4749666064372,18.217330909998,0.509703381028004,NaN,9.34294208753884e-13,1.18611531526295e-10,2.59831982914553e-27,2.5868958493357,10.7000068855851,18.3646028524861,11.8464967104392,15.0506665130165,0.000912495770678126,2.38941103420415e-50,2.6359577612578e-31,9.42232843193845e-15,2.63929797857408e-36
VR48,Wide Interneuron,vc,334,1.08940534617873,2.46005414405272,9.82328395845358,5.55561535686445,13.7596305391747,0.202382976535142,0.000542062524695094,2.8336702096105e-09,0.000725924473925135,1.19639492399391e-26,1.18779184409351,0,13.5585026658284,5.21489255258454,17.857374905361,0.347155781072844,NaN,4.26579717934502e-08,0.0317105669102644,6.74002987389878e-20,1.08940534617873,2.46005414405272,9.82328395845358,5.55561535686445,13.7596305391747,0.202382976535142,0.000542062524695094,2.8336702096105e-09,0.000725924473925135,1.19639492399391e-26
VR48,Wide Interneuron,ppc,366,-0.889088504823399,1.18298595828364,8.0872910766389,24.494019589888,11.901257579315,0.107723985525478,0.00989681556987141,6.89760892655574e-14,1.88647631188695e-82,3.97705626679348e-43,-3.63876455968288,0,4.32769902497084,23.2942309551625,10.3819374502242,2.00063140337604e-06,NaN,0.00262542581063186,1.55545384248458e-41,2.86014649728556e-19,-0.889088504823399,1.18298595828364,8.0872910766389,24.494019589888,11.901257579315,0.107723985525478,0.00989681556987141,6.89760892655574e-14,1.88647631188695e-82,3.97705626679348e-43
VR48,Wide Interneuron,ppc,420,-2.93170512170132,-0.434940775860394,5.11387820632192,9.24344172250028,11.6439339209983,4.70331349492752e-12,0.205361651532083,2.05388373562399e-10,4.38321479177887e-28,4.01059606549912e-65,-5.55416123586851,0,3.89015867571561,10.1776385428375,11.8164539132718,6.84880602880994e-17,NaN,0.00113174106367008,9.53523475517748e-16,2.59273422378979e-31,-2.93170512170132,-0.434940775860394,5.11387820632192,9.24344172250028,11.6439339209983,4.70331349492752e-12,0.205361651532083,2.05388373562399e-10,4.38321479177887e-28,4.01059606549912e-65
VR33,Wide Interneuron,vc,470,-0.35000163164219,3.36184142618911,4.47105706748151,6.3138219757621,10.4045017850353,0.480602514692507,2.04011744322449e-15,3.1845868428828e-06,5.80894984100499e-11,2.99287570549968e-41,-2.61586177811373,0,1.85351911934331,4.62144926435202,6.96622104393502,0.000142386247002811,NaN,0.154225685968328,0.000405470078310676,6.19344534067642e-12,-0.35000163164219,3.36184142618911,4.47105706748151,6.3138219757621,10.4045017850353,0.480602514692507,2.04011744322449e-15,3.1845868428828e-06,5.80894984100499e-11,2.99287570549968e-41
VR39,Wide Interneuron,vc,22,13.3619303120194,4.59284718754833,14.064168152909,4.37729113191949,9.9809948136819,2.0008048567525e-64,3.37561029710537e-15,1.64570621636872e-24,0.00082035655040607,1.47621118134744e-22,15.2417513768553,0,16.3777889903816,5.71676253682232,13.6049577634148,8.94959452355027e-44,NaN,1.61147176467262e-18,0.000999111303462388,5.74701939001879e-22,13.3619303120194,4.59284718754833,14.064168152909,4.37729113191949,9.9809948136819,2.0008048567525e-64,3.37561029710537e-15,1.64570621636872e-24,0.00082035655040607,1.47621118134744e-22
VR472,Wide Interneuron,vc,111,4.15195349436339,4.98751947351578,3.95475355130725,5.0628820255296,9.94915220387712,3.67262535501433e-05,2.94348676451239e-09,0.037773130028066,0.00826243018989834,8.3334791710116e-12,5.47210286797431,0,12.4353608363824,5.92137385853187,17.5755795330039,0.000104119240100037,NaN,4.13477149865427e-06,0.0267660022887976,1.17191228754991e-16,4.15195349436339,4.98751947351578,3.95475355130725,5.0628820255296,9.94915220387712,3.67262535501433e-05,2.94348676451239e-09,0.037773130028066,0.00826243018989834,8.3334791710116e-12
VR39,Wide Interneuron,vc,436,1.74742333834003,-0.643997816820413,9.0089051231944,13.6035242296182,9.86644320200828,0.0230699438307548,0.310951682331622,1.66136876323725e-09,3.23318423382757e-19,3.57816514898905e-18,1.08277731088934,0,13.1974202897051,16.8716000455917,15.654221104415,0.346659547723539,NaN,6.50120717844324e-09,2.55273872942947e-13,9.78251462641792e-19,1.74742333834003,-0.643997816820413,9.0089051231944,13.6035242296182,9.86644320200828,0.0230699438307548,0.310951682331622,1.66136876323725e-09,3.23318423382757e-19,3.57816514898905e-18
VR39,Wide Interneuron,vc,474,-0.956288167794053,0.737925384585246,4.35042086960465,6.43180776800862,9.50675271652451,0.012106391614206,0.0193426573603044,4.06972185512528e-09,9.44889698835193e-18,1.42057959739468e-54,-2.8787371086807,0,3.56530302522232,4.3115545427073,8.97271486782941,7.81399036958799e-09,NaN,0.000142884325487314,4.32225629643173e-06,2.99055443022215e-30,-0.956288167794053,0.737925384585246,4.35042086960465,6.43180776800862,9.50675271652451,0.012106391614206,0.0193426573603044,4.06972185512528e-09,9.44889698835193e-18,1.42057959739468e-54
VR45,Wide Interneuron,ppc,19,1.23955709009158,-1.26692535452021,8.10991910408559,4.1543742498814,9.26864015620702,0.00469212513104888,0.000496238059640199,1.37509635677519e-20,7.88161793852549e-07,4.75292139018262e-42,1.87201408728045,0,9.56476711557214,0.489948142501043,10.3940192852896,0.00604829635007213,NaN,2.03970588436831e-12,0.70390846918662,1.27955902503689e-22,1.23955709009158,-1.26692535452021,8.10991910408559,4.1543742498814,9.26864015620702,0.00469212513104888,0.000496238059640199,1.37509635677519e-20,7.88161793852549e-07,4.75292139018262e-42
VR472,Wide Interneuron,ppc,841,2.5171395891112,-1.1359416409972,10.7752493874861,13.7999780555055,9.00450540457173,6.72823371376335e-06,0.0135089014679689,1.65209801961064e-22,8.41213392422767e-34,4.60505707219665e-27,1.85867892127477,0,11.0025765322583,14.0905903493987,9.86310148618896,0.0282825551173987,NaN,5.05408603222065e-11,3.03165472277906e-16,1.07996389691387e-14,2.5171395891112,-1.1359416409972,10.7752493874861,13.7999780555055,9.00450540457173,6.72823371376335e-06,0.0135089014679689,1.65209801961064e-22,8.41213392422767e-34,4.60505707219665e-27
VR48,Wide Interneuron,vc,174,0.262973540291738,-2.75810499544233,1.31351728390777,8.44868338799881,8.92334702374519,0.713199768015433,4.05582234495063e-06,0.335091200640726,1.356270441326e-09,3.00778232298646e-17,1.40918317071122,0,-2.98736144882273,9.72486697403176,8.21762525417598,0.238852761005867,NaN,0.189838740138151,2.91487137774487e-05,2.38834062648484e-06,0.262973540291738,-2.75810499544233,1.31351728390777,8.44868338799881,8.92334702374519,0.713199768015433,4.05582234495063e-06,0.335091200640726,1.356270441326e-09,3.00778232298646e-17
VR44,Wide Interneuron,?,138,4.76675476881199,0.439565511546531,3.18150894527287,3.44174749750362,8.46540117968164,1.06293375670211e-21,0.265610326899279,0.000489591464740487,0.000178891250145248,2.17795543822563e-31,4.23056801287438,0,1.93273667405305,0.289664375585923,7.53317267423726,3.24072330799251e-08,NaN,0.172619773789908,0.838655370206511,1.0962077065429e-11,4.76675476881199,0.439565511546531,3.18150894527287,3.44174749750362,8.46540117968164,1.06293375670211e-21,0.265610326899279,0.000489591464740487,0.000178891250145248,2.17795543822563e-31
VR39,Wide Interneuron,vc,435,1.00333145528197,2.09595864524136,5.30948818734884,8.10208319810872,8.28061862955371,0.0868749349726585,1.80935463035141e-05,2.74251979838536e-06,1.26419206100177e-12,2.21627638360694e-21,-2.24986162030047,0,5.53325357069511,14.3494091072267,9.76536205638161,0.00573065749930366,NaN,0.00041199438701405,4.68206731731787e-18,1.7620192044149e-15,1.00333145528197,2.09595864524136,5.30948818734884,8.10208319810872,8.28061862955371,0.0868749349726585,1.80935463035141e-05,2.74251979838536e-06,1.26419206100177e-12,2.21627638360694e-21
VR39,Wide Interneuron,vc,447,2.68847736013072,-0.647447258325376,6.81711319027832,2.37489612003458,8.19262876391218,2.62685401266459e-05,0.217989756455693,3.15402334332587e-08,0.0496195832109806,2.61243166339602e-18,6.33154482520153,0,9.66351823616204,0.963461291458781,9.06422370592418,5.15210497397379e-09,NaN,2.45727977528444e-06,0.629429293398618,4.62742380733472e-09,2.68847736013072,-0.647447258325376,6.81711319027832,2.37489612003458,8.19262876391218,2.62685401266459e-05,0.217989756455693,3.15402334332587e-08,0.0496195832109806,2.61243166339602e-18
VR45,Wide Interneuron,vc,258,-0.405183827348788,2.20062579501433,5.6828249104721,12.2162823421242,8.12776169633315,0.618670537243432,0.00116070289308967,0.000290397708059696,1.80687751096147e-14,7.77906315779857e-12,-1.033644524394,0,4.90276863890851,5.00210464837474,3.04228304103961,0.344422799388523,NaN,0.0197008200145509,0.016758119603251,0.0518063619731379,-0.405183827348788,2.20062579501433,5.6828249104721,12.2162823421242,8.12776169633315,0.618670537243432,0.00116070289308967,0.000290397708059696,1.80687751096147e-14,7.77906315779857e-12
VR39,Wide Interneuron,vc,431,2.1669673263918,0.875742979900741,12.8177670695016,10.5597019071796,8.1050171395213,0.000572814868247044,0.0914059475114803,2.48767242829225e-24,1.1470498706422e-17,2.12675762316612e-18,1.49667936555278,0,13.5407492174911,10.449927536219,8.62468188604564,0.12224469423773,NaN,2.95292216812466e-12,3.48030223978097e-08,1.56156470481307e-09,2.1669673263918,0.875742979900741,12.8177670695016,10.5597019071796,8.1050171395213,0.000572814868247044,0.0914059475114803,2.48767242829225e-24,1.1470498706422e-17,2.12675762316612e-18
VR39,Wide Interneuron,vc,779,0.443510013767726,0.120666942466476,9.07818173690577,13.1445321762804,8.01311639307145,0.309282792769193,0.738241310808738,5.2634357062048e-25,1.68886160075028e-46,3.25140391990696e-33,-0.581871313605409,0,7.86405599588442,13.4842246461805,5.12667146316486,0.375268998778208,NaN,1.49296307173841e-09,9.41467575742683e-23,9.81536250491217e-08,0.443510013767726,0.120666942466476,9.07818173690577,13.1445321762804,8.01311639307145,0.309282792769193,0.738241310808738,5.2634357062048e-25,1.68886160075028e-46,3.25140391990696e-33
VR45,Wide Interneuron,ppc,313,0.58869795630611,0.0148680846569764,1.11607461893507,4.6984654400275,7.43745223463733,0.264115109569741,0.972815353495215,0.268831481566529,3.54999872632934e-06,2.69960821124964e-21,-0.0788011659614961,0,-1.64966509044374,3.13425898803226,4.99915647054287,0.919939930821515,NaN,0.272336727026876,0.0365363321037537,1.1527004091546e-05,0.58869795630611,0.0148680846569764,1.11607461893507,4.6984654400275,7.43745223463733,0.264115109569741,0.972815353495215,0.268831481566529,3.54999872632934e-06,2.69960821124964e-21
VR472,Wide Interneuron,vc,755,0.173398639607107,0.954839442189682,2.3836404868929,3.89580368602756,7.30514917717996,0.569656614209082,0.000172746628570006,4.63532811256419e-05,6.2538453116346e-11,5.24712969713817e-51,2.23288912653963,0,4.27808898137789,4.73527004298016,8.4880926129892,1.78777550269676e-07,NaN,1.50968214176345e-07,8.96699917024553e-09,1.28097453017769e-34,0.173398639607107,0.954839442189682,2.3836404868929,3.89580368602756,7.30514917717996,0.569656614209082,0.000172746628570006,4.63532811256419e-05,6.2538453116346e-11,5.24712969713817e-51
VR45,Wide Interneuron,ppc,359,3.29221698062873,-2.64669956996958,1.15188576876535,-1.86429277401908,7.07430526060376,1.63642846099737e-08,4.10407640579919e-08,0.295026044418604,0.0885935827803161,6.88052231489531e-17,7.66025382961185,0,4.42836044028489,-3.18655957682447,12.6342438136955,4.1202766946217e-14,NaN,0.0164240542897489,0.0817195313663725,8.6641492292095e-18,3.29221698062873,-2.64669956996958,1.15188576876535,-1.86429277401908,7.07430526060376,1.63642846099737e-08,4.10407640579919e-08,0.295026044418604,0.0885935827803161,6.88052231489531e-17
